iddepto,nomdepto,idmpio,nompio,codigohabilitacion,nombre,nitsnit,ese,direccion,telefono,najunombre,numerosedeprincipal
11,Bogotá D.C,11001,BOGOTÁ,1100104488,COUNTRY SCAN LTDA,800006509,NO,Carrera 16 A No. 82-37 PISO 2,6449201,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100126490,EFI CIENCIA OCUPACIONAL LTDA,900380757,,CARRERA 20 A # 72 09 OFICINA 201,7551993 7551994,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100106146,SOCIEDAD DE CIRUGIA OCULAR S A,800231602,NO,AV CLL 134 Nº 7B- 83 Oficina 214,6257723,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100127518,OXIVIDAS SAS,900355438,,CRA 12 N. 71 32 OF 702 B,4672265 - 3142954946,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100111048,CENTRO DE DIAGNOSTICO Y TRATAMIENTO CENDIATRA SOCIEDAD POR ACCIONES SIMPLIFICADAS CENDIATRA SAS,800180176,NO,CALLE 19 NO. 3-50 PISO 12,2826817,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100118745,BUITRAGO & MORALES SAS,900215198,NO,CARRERA 30 No. 5-38,2770331,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100101813,CENTRO NEUROLOGICO DE BOGOTA LIMITADA,860353671,NO,Carrera 16 No.82-95 Consultorio 606,6108069,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100115683,BLUE LASER MEDICINA INTEGRAL S.A,900073623,NO,Calle 52 #71D - 37 Local 2,2951570 - 3144425643,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100122399,MundoDent Clínicas Odontológicas S.A.S,900423879,,Carrera 112A No. 75B - 05,4400207,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100119374,FORJA EMPRESAS SAS,900162688,,TV 21 No. 98 -71 OF 201,7447050 - 3002083932,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100121217,UNIDAD DE DIAGNOSTICO ECOGRAFICO FONTIBON I P S SOCIEDAD LIMITADA SU SIGLA ES UDEF I P S LTDA,900181148,,Kra 99 N. 16 j Bis 31 segundo piso,4185063,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100127689,CENTRO ASISTENCIAL DOMICILIARIO S.A.S - SIGLA CENAS S.A.S,900752669,,Av. Carrera 30 No 63 F - 57 OFICINA 201,3156472,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100120680,OPERADORA DE CLINICAS Y HOSPITALES S.A.OC&H,900285393,NO,Calle 90 No. 16 - 43,7 051700 - 7 051708,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100120061,City Ambulancias S A S,900281029,,Calle 77 No 58-23,5470631 5478148,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100108556,FUNDACION NIÑEZ Y DESARROLLO FUNDACION FND COLOMBIA,860034503,NO,AK 60 # 63 63,3108260,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100107680,LABORATORIO CLINICO LA CAROLINA S.A,800111969,NO,AC 127 No. 14 - 12 LCO 2,6581616,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100117167,SALUD VISUAL EMPRESARIAL OCUPACIONAL EU,900135971,,CALLE 19 No.8-81 oficina 1005,3365407,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100124549,CENTRO DE ACONDICIONAMIENTO Y PREPARACION FISICA WELLNESS CENTER SAS,900394968,,CALLE 69 No. 5-23,3130284-14,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100105464,ALIRIO GUTIERREZ MILLAN Y CIA SAS UNIDAD DE ATENCIÓN PRIMARIA DARSALUD,830025766,NO,KR 78 K # 33 A 76 SUR,2657599,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100122351,BUITRAGO & GRANDAS SAS,900204085,,CALLE 74 C SUR No. 0 -34,2 72 64 84,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100119699,DENTAL LINE E.U.,900171194,NO,TRANV 34 A BIS # 40 67SUR,7282258,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100128345,La dentisteria Clinica de Especialistas S.A.S,900847386,,Cra 80C#24C-19 Lc 1,5471062-3144159983,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100123474,MEDPLUS CENTRO DE RECUPERACION INTEGRAL SAS,900496494,,Carrera 14 No 93b-15,7424943,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100117745,UNIDAD MEDICA Y ODONTOLOGICA SANTA PILAR E.U.,900173431,NO,AVENIDA CARACAS CR 14 74 C 03 SUR,7612926,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100100923,UNIDAD DERMATOLOGICA DE FOTOTERAPIA SAS,800207897,NO,CL 93 B # 13 92 CS 202,2566374,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100121676,HAIR DOCTORS AND HAIR HEALTH S.A.S,900358077,,calle 108 # 17 a 68,4779152,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100128911,UNIDAD MEDICA INTEGRAL MOTUS IPS SAS,900867338,,CL 24 A NO. 81 C 90,4975736,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100123223,IPS BIENESTAR EN CASA SAS,900473087,,CALLE 24 No. 72 B - 53 OFICINA 202,6636159-3167449281-3185166653,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100107318,CORVESALUD S.A.S,830007229,NO,KR 13 # 37 37 PI 8,7563900 - 3022693192,Privada,2
11,Bogotá D.C,11001,BOGOTÁ,1100121745,EVALUA SALUD IPS SAS,900380150,,CRA 45 A No. 93-56,8012047,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100110058,MEDICOS ASOCIADOS S.A.,860066191,NO,CALLE 58 A # 37 10,3752720,Privada,6
11,Bogotá D.C,11001,BOGOTÁ,1100129667,INNOVAGENOMICS COLOMBIA SAS SIGLA INNOVAGENOMICS SAS,900800124,,Cra 45 A No. 103 86 in2,5173937,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100107772,REVISAVIAE LTDA,800218902,NO,KR 11 # 61 19 PISO 2 OF 201 Y PISO 4 OF 401,3477371,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100106258,UNIDAD QUIRURGICA LOS ALPES SAS,830073010,NO,KR 7 B # 127 A 14,7463713,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100115308,CLINICA ODONTOLOGICA CLINISTETIC LTDA,830137350,NO,CALLE 58 No 17-09,3478514,Privada,2
11,Bogotá D.C,11001,BOGOTÁ,1100104768,CENTRO DE TERAPIA OCUPACIONAL LTDA,860352078,,KR 47 A # 95 67 P1,6109412-6105845-3212076449,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100108620,CLINICA ODONTOLOGICA DEL OCCIDENTE I P S SAS,830087784,NO,AC 24 # 43 A 84,3350772,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100106688,ORL BOSQUE LTDA,830076034,NO,AC 134 # 7 B 83 OF 719,6271711,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100108684,ATARDECER DE LOS AÑOS LTDA,800118223,NO,KR 80 # 170 85,6711182,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100117001,CENTRO PENSAR LIMITADA,830077128,NO,CL 142 # 18 A - 07,2581810,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100123784,FUNDACION COLOMBIANA PARA EL DIAGNOSTICO Y TRATAMIENTO DE LAS ARRITMIAS CARDIACAS FUNDARRITMIA,900028377,,CALLE 50 N. 8 - 24 CS 301,3100450,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100105606,LABINTOX S.A.S,800165047,NO,CL 134 No 17-71 DENTRO DE LA CLINICA MONTSERRAT,6263251,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100126213,Guiar Salud IPS Y HSEQS EN CS,830098226,,Calle 3A Nº 53F 74,4206565,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100131573,MED&LAB SM SAS,901054238,,CRA 54 NO 42A 73 SUR,4776989,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100129077,Asisstanza IPS - SAS,900892703,,Carrera 16 a # 78 - 79 oficina 404,4929296 - 3144718311,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100116090,INVERSIONES GRUPO ORAL SAS,900098622,NO,AVENIDA EL DORADO # 68 C 61 LC 132,7021244 4058592,Privada,2
11,Bogotá D.C,11001,BOGOTÁ,1100119814,FUNDACION MISION SALUD,900243760,NO,CALLE 1F N.29B-29,2011134 3004751676,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100115731,CLINICA FERNANDO VANEGAS CANO LTDA.,900076452,NO,KR 16 No. 96 - 64 CS 314,6369541,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100117183,LAURITA-CORPORACION PARA EL DESARROLLO INTEGRAL LTDA,900130598,NO,KR 65 No.96-31,577506664,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100108229,CENTRO ECOGRAFICO C . G .R .,830114494,NO,CRA 15 # 33 A 21 local 102,2456047,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100101158,PATOLAB RX LTDA,800145502,NO,KR 19C 90-14 CONSULTORIO 308-309,5226612,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100121759,CENTRO MEDICO ARIZALUD S A S,900399004,,CR 87 F NO.59 C 15 SUR,7301282,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100109185,CLINICA INTERNACIONAL DE CIRUGIA S.A.S,800074904,NO,KR 17 No. 39B - 04,2453075,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100101814,CENTRO DE ENFERMEDADES MAMARIAS LTDA,800153488,NO,CRA 16 # 82 51 Cons 503 y Pisos 6 Y 7,6910851,Privada,1
11,Bogotá D.C,11001,BOGOTÁ,1100122496,MEDICAL GLOBAL CENTER SAS,900437951,,CARRERA 15 NO. 56-21,4745834,Privada,1
