"ID","ID_CONSULTA","ID_CONSULTA_URGENCIA","ID_HOSPITALIZACION","ID_EXAMENES","ID_TERAPIAS","ID_PROCEDIMIENTO_ESPECIALIZADO","ID_IPS","HABILITADO"
957,957,,,,,,24,"T"
958,958,,,,,,82,"F"
959,959,,,,,,60,"F"
960,960,,,,,,26,"T"
961,961,,,,,,23,"F"
962,962,,,,,,23,"F"
963,963,,,,,,44,"T"
964,964,,,,,,42,"T"
965,965,,,,,,45,"F"
966,966,,,,,,45,"F"
967,967,,,,,,26,"T"
968,968,,,,,,39,"T"
969,969,,,,,,72,"F"
970,970,,,,,,7,"T"
971,971,,,,,,30,"T"
972,972,,,,,,19,"T"
973,973,,,,,,100,"T"
974,974,,,,,,94,"T"
975,975,,,,,,47,"T"
976,976,,,,,,73,"F"
977,977,,,,,,30,"T"
978,978,,,,,,27,"T"
979,979,,,,,,30,"F"
980,980,,,,,,81,"T"
981,981,,,,,,49,"F"
982,982,,,,,,99,"T"
983,983,,,,,,61,"F"
984,984,,,,,,75,"F"
985,985,,,,,,76,"F"
986,986,,,,,,23,"T"
987,987,,,,,,4,"T"
988,988,,,,,,44,"T"
989,989,,,,,,94,"F"
990,990,,,,,,1,"F"
991,991,,,,,,64,"F"
992,992,,,,,,30,"F"
993,993,,,,,,25,"F"
994,994,,,,,,22,"F"
995,995,,,,,,99,"F"
996,996,,,,,,94,"F"
997,997,,,,,,21,"T"
998,998,,,,,,91,"F"
999,999,,,,,,72,"F"
1000,1000,,,,,,16,"F"
1001,1001,,,,,,11,"F"
1002,1002,,,,,,24,"F"
1003,1003,,,,,,23,"F"
1004,1004,,,,,,13,"F"
1005,1005,,,,,,89,"T"
1006,1006,,,,,,95,"F"
1007,1007,,,,,,46,"F"
1008,1008,,,,,,29,"F"
1009,1009,,,,,,91,"T"
1010,1010,,,,,,43,"T"
1011,1011,,,,,,83,"F"
1012,1012,,,,,,10,"T"
1013,1013,,,,,,77,"F"
1014,1014,,,,,,4,"F"
1015,1015,,,,,,4,"T"
1016,1016,,,,,,73,"T"
1017,1017,,,,,,77,"F"
1018,1018,,,,,,97,"T"
1019,1019,,,,,,7,"F"
1020,1020,,,,,,51,"T"
1021,1021,,,,,,64,"T"
1022,1022,,,,,,96,"T"
1023,1023,,,,,,37,"F"
1024,1024,,,,,,93,"F"
1025,1025,,,,,,88,"T"
1026,1026,,,,,,70,"F"
1027,1027,,,,,,69,"F"
1028,1028,,,,,,10,"F"
1029,1029,,,,,,92,"F"
1030,1030,,,,,,67,"F"
1031,1031,,,,,,78,"T"
1032,1032,,,,,,65,"T"
1033,1033,,,,,,63,"F"
1034,1034,,,,,,14,"F"
1035,1035,,,,,,51,"F"
1036,1036,,,,,,74,"T"
1037,1037,,,,,,48,"T"
1038,1038,,,,,,18,"T"
1039,1039,,,,,,49,"T"
1040,1040,,,,,,5,"T"
1041,1041,,,,,,77,"T"
1042,1042,,,,,,20,"F"
1043,1043,,,,,,75,"T"
1044,1044,,,,,,90,"F"
1045,1045,,,,,,21,"T"
1046,1046,,,,,,63,"F"
1047,1047,,,,,,85,"F"
1048,1048,,,,,,100,"F"
1049,1049,,,,,,51,"F"
1050,1050,,,,,,66,"F"
1051,1051,,,,,,34,"F"
1052,1052,,,,,,23,"T"
1053,1053,,,,,,96,"F"
1054,1054,,,,,,87,"T"
1055,1055,,,,,,36,"T"
1056,1056,,,,,,100,"T"
1057,1057,,,,,,31,"T"
1058,1058,,,,,,33,"F"
1059,1059,,,,,,28,"T"
1060,1060,,,,,,85,"T"
1061,1061,,,,,,79,"F"
1062,1062,,,,,,50,"F"
1063,1063,,,,,,7,"T"
1064,1064,,,,,,82,"F"
1065,1065,,,,,,13,"T"
1066,1066,,,,,,30,"F"
1067,1067,,,,,,15,"T"
1068,1068,,,,,,10,"T"
1069,1069,,,,,,70,"F"
1070,1070,,,,,,19,"F"
1071,1071,,,,,,57,"F"
1072,1072,,,,,,29,"T"
