id;id_servicio;dias_sem_atencion;hora_inicial;hora_fin;num_afiliados
1;1;D; 15:13:30 ; 16:55:53 ;2
2;2;L; 14:31:17 ; 16:37:24 ;7
3;3;D; 12:47:48 ; 13:35:53 ;27
4;4;S; 17:02:37 ; 18:03:10 ;26
5;5;J; 21:45:44 ; 22:57:25 ;21
6;6;M; 12:54:01 ; 14:08:31 ;24
7;7;D; 05:27:02 ; 07:09:20 ;3
8;8;S; 05:30:46 ; 06:33:08 ;20
9;9;D; 03:04:17 ; 03:41:32 ;26
10;10;D; 06:43:49 ; 09:07:11 ;21
11;11;S; 20:07:46 ; 22:35:13 ;21
12;12;J; 06:45:28 ; 08:38:10 ;4
13;13;S; 21:33:26 ; 23:45:36 ;6
14;14;D; 12:11:34 ; 13:54:30 ;22
15;15;D; 00:59:03 ; 03:13:35 ;25
16;16;S; 01:17:54 ; 02:51:34 ;29
17;17;S; 17:55:01 ; 18:35:20 ;2
18;18;V; 10:38:35 ; 12:08:49 ;2
19;19;D; 21:33:33 ; 22:20:36 ;10
20;20;S; 09:32:11 ; 10:44:17 ;20
21;21;D; 14:10:32 ; 14:54:39 ;26
22;22;M; 08:50:49 ; 09:31:07 ;1
23;23;S; 06:36:55 ; 08:22:34 ;24
24;24;S; 02:06:47 ; 04:03:58 ;7
25;25;V; 21:07:40 ; 21:57:50 ;12
26;26;V; 08:26:25 ; 10:15:44 ;28
27;27;D; 05:40:03 ; 06:22:42 ;20
28;28;J; 08:41:42 ; 10:42:55 ;22
29;29;D; 03:48:44 ; 05:41:07 ;19
30;30;D; 17:31:46 ; 18:57:45 ;22
31;31;D; 13:58:30 ; 15:48:57 ;16
32;32;D; 13:05:52 ; 15:04:31 ;20
33;33;M; 17:23:47 ; 18:35:36 ;25
34;34;S; 12:51:24 ; 14:46:32 ;24
35;35;D; 12:56:57 ; 13:53:13 ;11
36;36;D; 22:09:10 ; 23:35:57 ;25
37;37;D; 06:01:53 ; 07:43:27 ;9
38;38;S; 01:40:46 ; 03:39:24 ;9
39;39;D; 21:58:38 ; 12:03:58 ;28
40;40;D; 15:29:29 ; 17:44:54 ;30
41;41;V; 07:14:05 ; 08:50:02 ;17
42;42;S; 03:33:04 ; 06:01:16 ;21
43;43;S; 18:16:30 ; 20:20:50 ;17
44;44;D; 01:18:03 ; 02:36:54 ;29
45;45;D; 08:35:10 ; 11:00:24 ;3
46;46;D; 10:13:01 ; 11:15:23 ;21
47;47;V; 16:57:47 ; 18:02:30 ;5
48;48;M; 14:06:18 ; 16:11:10 ;11
49;49;S; 11:48:56 ; 13:02:49 ;20
50;50;V; 13:32:15 ; 14:33:08 ;18
51;51;S; 23:59:37 ; 01:36:55 ;17
52;52;D; 03:57:21 ; 05:44:03 ;12
53;53;S; 22:59:57 ; 12:10:12 ;24
54;54;S; 12:21:03 ; 14:12:18 ;30
55;55;S; 14:34:06 ; 16:57:06 ;25
56;56;D; 13:22:23 ; 14:00:54 ;29
57;57;D; 16:10:53 ; 18:11:24 ;1
58;58;D; 11:55:15 ; 14:16:29 ;23
59;59;D; 02:03:22 ; 03:35:12 ;1
60;60;D; 03:56:55 ; 04:41:44 ;14
61;61;D; 18:51:33 ; 21:04:58 ;9
62;62;S; 04:49:44 ; 05:57:39 ;8
63;63;V; 19:46:33 ; 21:46:03 ;22
64;64;D; 07:05:14 ; 07:59:45 ;28
65;65;S; 13:42:58 ; 15:28:45 ;26
66;66;J; 16:33:15 ; 18:08:34 ;27
67;67;V; 08:08:16 ; 09:33:05 ;19
68;68;D; 22:08:05 ; 12:32:44 ;19
69;69;D; 23:05:59 ; 12:08:34 ;4
70;70;S; 11:24:23 ; 12:49:54 ;1
71;71;S; 18:59:29 ; 20:47:11 ;11
72;72;J; 10:16:16 ; 11:29:06 ;29
73;73;D; 06:43:09 ; 08:20:23 ;13
74;74;D; 19:27:58 ; 20:19:51 ;25
75;75;V; 07:50:47 ; 08:57:05 ;18
76;76;J; 02:12:45 ; 03:22:25 ;15
77;77;L; 06:26:53 ; 08:02:04 ;27
78;78;S; 12:43:48 ; 13:30:22 ;20
79;79;V; 04:44:53 ; 05:35:39 ;16
80;80;S; 00:37:26 ; 01:48:34 ;25
81;81;D; 09:04:45 ; 10:30:14 ;2
82;82;S; 22:52:59 ; 01:16:46 ;20
83;83;D; 19:27:17 ; 20:19:50 ;9
84;84;S; 23:49:07 ; 01:49:09 ;12
85;85;V; 02:45:14 ; 04:27:11 ;28
86;86;S; 21:24:46 ; 22:51:34 ;1
87;87;S; 16:08:46 ; 18:24:07 ;14
88;88;D; 21:10:53 ; 22:58:48 ;6
89;89;S; 09:02:23 ; 10:58:28 ;20
90;90;D; 02:09:40 ; 03:50:50 ;20
91;91;V; 18:53:57 ; 21:04:41 ;8
92;92;S; 12:35:03 ; 14:33:55 ;10
93;93;S; 22:29:42 ; 23:24:35 ;9
94;94;D; 02:28:08 ; 04:47:46 ;21
95;95;V; 17:09:54 ; 18:31:24 ;1
96;96;J; 23:21:24 ; 01:16:36 ;21
97;97;S; 04:21:52 ; 06:10:15 ;5
98;98;D; 06:27:54 ; 07:32:12 ;21
99;99;D; 07:45:56 ; 09:35:50 ;14
100;100;V; 18:08:25 ; 19:03:43 ;29
101;101;D; 03:53:58 ; 05:48:54 ;30
102;102;J; 08:40:18 ; 10:17:05 ;29
103;103;I; 18:02:04 ; 19:53:55 ;10
104;104;D; 18:26:13 ; 20:10:14 ;8
105;105;D; 06:45:59 ; 07:25:37 ;7
106;106;D; 05:31:54 ; 06:43:59 ;30
107;107;D; 01:07:41 ; 02:17:29 ;16
108;108;D; 10:35:25 ; 12:44:03 ;1
109;109;D; 20:53:45 ; 23:18:50 ;11
110;110;D; 09:25:48 ; 11:36:02 ;10
111;111;D; 01:23:15 ; 02:16:13 ;1
112;112;D; 01:43:42 ; 02:44:00 ;22
113;113;D; 16:30:20 ; 18:57:14 ;2
114;114;D; 09:50:28 ; 10:33:50 ;29
115;115;S; 18:28:05 ; 19:33:12 ;8
116;116;V; 11:59:33 ; 13:24:20 ;16
117;117;S; 06:45:00 ; 07:19:03 ;1
118;118;D; 02:20:28 ; 03:07:38 ;9
119;119;V; 00:36:27 ; 02:32:36 ;20
120;120;M; 22:52:38 ; 12:02:45 ;16
121;121;D; 01:42:29 ; 03:32:39 ;6
122;122;I; 18:43:53 ; 20:29:27 ;11
123;123;D; 01:36:25 ; 02:12:04 ;21
124;124;S; 17:46:17 ; 19:10:18 ;13
125;125;D; 18:36:55 ; 19:39:29 ;13
126;126;V; 11:32:26 ; 13:44:13 ;4
