duracion,dia,id_servicio,ID_IPS,capacidad,capacidad_max,horainicio
84,9/10/2015 14:06,1,34,14,29,13:06:46
2,4/10/2015 6:20,2,76,25,24,16:11:46
74,27/12/2018 21:50,3,72,19,8,23:12:58
18,5/12/2012 12:55,4,4,21,29,19:33:57
88,23/05/2015 5:20,5,38,15,10,0:22:05
2,22/01/2019 14:27,6,82,17,9,16:08:56
17,18/06/2010 23:16,7,71,19,13,14:57:39
12,21/09/2016 13:13,8,13,11,22,9:42:03
90,27/11/2010 0:42,9,82,30,7,15:40:22
0,26/10/2014 22:12,10,75,27,28,1:20:04
60,9/02/2014 18:43,11,64,21,22,18:09:16
56,4/01/2019 1:20,12,71,2,23,13:14:19
3,17/09/2015 8:17,13,55,11,9,16:22:16
27,30/08/2012 17:30,14,63,19,14,13:47:56
5,6/02/2011 9:02,15,34,28,16,3:53:52
82,16/12/2012 11:57,16,97,26,28,9:46:47
30,17/04/2013 2:05,17,63,27,24,10:27:59
18,15/12/2009 19:10,18,24,17,6,6:23:58
17,14/03/2014 11:44,19,83,6,12,21:01:01
47,7/08/2010 14:53,20,36,6,4,5:33:56
34,24/05/2014 4:12,21,45,1,19,14:17:37
22,7/04/2016 19:52,22,28,30,13,6:51:18
67,24/11/2016 5:25,23,48,15,17,20:02:09
54,31/10/2012 15:58,24,18,29,1,17:43:38
38,2/03/2015 9:29,25,79,22,10,2:05:14
29,27/09/2018 13:30,26,44,3,4,22:21:51
29,12/07/2012 21:50,27,36,15,13,1:21:51
12,11/10/2013 15:17,28,14,25,21,8:16:20
71,8/02/2011 13:51,29,23,26,12,8:47:41
57,11/10/2019 2:03,30,51,28,24,20:55:33
15,21/12/2018 22:59,31,72,28,25,8:36:31
27,16/02/2015 18:26,32,54,17,27,22:47:05
31,14/11/2017 7:18,33,5,12,10,16:47:30
33,11/03/2019 18:42,34,83,22,19,11:48:50
6,1/08/2016 17:43,35,84,7,13,3:31:20
11,19/06/2017 22:20,36,63,28,8,12:13:21
9,21/09/2012 22:36,37,95,2,20,8:44:54
3,22/06/2016 21:59,38,71,23,30,12:08:13
5,31/05/2017 20:23,39,34,15,27,2:13:32
24,17/04/2010 5:36,40,27,21,23,1:47:17
45,29/01/2017 11:49,41,82,10,7,13:52:18
13,3/11/2015 16:07,42,74,11,17,3:11:28
11,15/02/2018 21:33,43,49,17,4,4:09:56
78,14/12/2016 15:55,44,52,25,9,20:27:25
45,16/04/2018 23:23,45,29,29,7,0:48:22
38,25/05/2018 17:49,46,26,13,18,11:47:05
71,3/08/2012 8:22,47,43,15,6,16:24:22
45,4/11/2010 23:12,48,24,8,20,11:59:23
12,5/03/2018 2:30,49,19,26,15,18:47:20
20,3/06/2019 10:50,50,88,4,20,13:53:15
55,28/07/2019 2:18,51,25,22,5,1:18:46
13,28/09/2015 19:34,52,55,18,24,14:42:34
24,28/06/2019 1:04,53,43,7,18,23:45:02
1,16/02/2011 22:48,54,67,25,7,18:32:44
1,6/04/2014 6:21,55,21,2,3,12:39:22
39,24/06/2015 7:47,56,10,15,28,14:10:50
79,25/08/2016 4:47,57,21,27,15,3:24:49
1,21/05/2010 21:01,58,56,11,30,0:01:10
88,20/04/2010 0:08,59,25,8,24,10:31:43
90,18/12/2010 14:48,60,90,7,23,22:24:59
2,6/02/2016 15:36,61,30,9,7,1:21:45
49,21/02/2016 9:22,62,30,8,8,11:04:03
23,8/05/2017 21:50,63,40,11,28,7:01:34
71,9/07/2011 12:10,64,23,21,22,10:25:45
20,4/07/2018 9:58,65,97,19,21,9:00:47
30,5/02/2011 23:35,66,70,5,27,3:18:04
14,18/12/2009 14:52,67,40,6,14,6:22:02
5,6/08/2012 12:45,68,91,25,26,11:58:17
26,16/04/2014 18:02,69,23,11,15,22:21:46
39,26/08/2011 15:40,70,25,5,4,17:41:50
25,22/04/2014 2:58,71,57,11,26,21:47:06
14,25/01/2011 16:12,72,30,13,11,23:39:05
57,1/04/2018 16:00,73,75,5,11,10:36:21
12,17/02/2017 21:45,74,61,15,2,20:21:49
58,28/04/2014 4:09,75,16,19,2,1:16:43
48,3/05/2011 23:58,76,9,13,14,15:00:23
80,16/04/2016 15:45,77,44,22,30,20:09:44
75,10/07/2017 12:44,78,86,8,30,12:41:37
45,3/04/2016 17:16,79,35,6,26,22:05:37
51,30/10/2014 4:34,80,67,13,26,6:22:02
