id,tipo_terapia
1,consectetuer
2,aliquet
3,porta
4,vestibulum
5,mauris
6,nibh
7,adipiscing
8,lorem
9,nec
10,odio
11,Maecenas
12,congue
13,metus
14,Curabitur
15,condimentum
16,Maecenas
17,In
18,tristique
19,nonummy
20,ultrices
21,adipiscing
22,adipiscing
23,tempus
24,quis
25,ad
26,pede
27,dolor
28,pulvinar
29,cubilia
30,per
31,dui
32,Curabitur
33,convallis
34,mauris
35,nostra
36,condimentum
37,magnis
38,Cras
39,vehicula
40,In
41,velit
42,sit
43,accumsan
44,consequat
45,fames
46,placerat
47,Class
48,est
49,hendrerit
50,Ut
51,bibendum
52,metus
53,nascetur
54,quam
55,Aliquam
56,sapien
57,convallis
58,taciti
59,amet
60,nisi
61,posuere
62,dignissim
63,montes
64,lacus
65,ipsum
66,odio
67,Proin
68,montes
69,inceptos
70,gravida
71,ultricies
72,ridiculus
73,facilisis
74,sapien
75,litora
76,Mauris
77,scelerisque
78,erat
79,velit
80,euismod
81,nisl
82,Suspendisse
83,penatibus
84,interdum
85,sagittis
86,tincidunt
87,Mauris
88,nibh
89,tempor
90,taciti
91,a
92,lacinia
93,volutpat
94,facilisis
95,quis
96,pharetra
97,aliquet
98,morbi
99,laoreet
100,vel
101,metus
102,ac
103,congue
104,magnis
105,Mauris
106,bibendum
107,et
108,Sed
109,malesuada
110,morbi
111,mi
112,hymenaeos
113,lectus
114,placerat
115,bibendum
116,blandit
117,vehicula
118,hendrerit
119,taciti
120,fermentum
121,convallis
122,Sed
123,nunc
124,vehicula
125,ante
126,cursus
127,interdum
128,natoque
129,dictum
130,venenatis
131,eros
132,erat
133,Quisque
134,vel
135,parturient
136,facilisi
137,egestas
138,quam
139,a
140,diam
141,elementum
142,parturient
143,ante
144,non
145,vestibulum
146,augue
147,Duis
148,tortor
149,Nulla
150,Etiam
151,nunc
152,parturient
153,convallis
154,dignissim
155,Nunc
156,iaculis
157,libero
158,Nunc
159,vel
160,eleifend
161,lacinia
162,dis
163,Aenean
164,malesuada
165,facilisi
166,sem
167,pede
168,pretium
169,iaculis
170,facilisi
171,mi
172,eleifend
173,sapien
174,gravida
175,pellentesque
176,Phasellus
177,ridiculus
178,Maecenas
179,mauris
180,mattis
181,tortor
182,iaculis
183,ipsum
184,in
185,nunc
186,facilisi
187,et
188,lorem
189,Sed
190,Sed
191,elit
192,non
193,nascetur
194,accumsan
195,purus
196,taciti
197,sociosqu
198,dictum
199,sociis
200,iaculis
201,Cum
202,ultrices
203,Vestibulum
204,Curabitur
205,pede
206,luctus
207,varius
208,euismod
209,sociosqu
210,lorem
211,aliquam
212,ultricies
213,fermentum
214,Vestibulum
215,magna
216,mauris
217,vitae
218,imperdiet
219,commodo
220,dolor
221,consequat
222,tempor
223,venenatis
224,pellentesque
225,justo
226,tempor
227,odio
228,enim
229,Proin
230,elementum
231,varius
232,non
233,gravida
234,felis
235,tincidunt
236,ridiculus
237,Ut
238,Suspendisse
239,ac
240,Nullam
241,sociosqu
242,Suspendisse
243,dapibus
244,eget
245,sagittis
246,pede
247,lorem
248,imperdiet
249,fringilla
250,Vivamus
251,nascetur
252,lacinia
253,non
254,Etiam
255,gravida
256,erat
257,interdum
258,ridiculus
259,Cras
260,est
261,non
262,nisl
263,Fusce
264,morbi
265,diam
266,convallis
267,est
268,senectus
269,netus
270,non
271,mollis
272,taciti
273,nulla
274,mollis
275,ornare
276,purus
277,Mauris
278,Aliquam
279,morbi
280,ridiculus
281,Pellentesque
282,eleifend
283,Curae
284,montes
285,hendrerit
286,sociosqu
287,sapien
288,mattis
289,nibh
290,pede
291,sollicitudin
292,ultricies
293,porta
294,tortor
295,et
296,nunc
297,magna
298,dis
299,Praesent
300,lacinia
301,sagittis
302,ultricies
303,Pellentesque
304,hymenaeos
305,elit
306,primis
307,feugiat
308,bibendum
309,dapibus
310,per
311,sit
312,eleifend
313,dui
314,Nam
315,mus
316,sociosqu
317,ligula
318,aptent
319,quis
320,et
321,interdum
322,Donec
323,sodales
324,Curae
325,Nulla
326,fermentum
327,congue
328,at
329,euismod
330,massa
331,nunc
332,odio
333,lectus
334,gravida
335,auctor
336,inceptos
337,Quisque
338,amet
339,iaculis
340,quam
341,mollis
342,vulputate
343,viverra
344,erat
345,tellus
346,parturient
347,dis
348,ante
349,dictum
350,Lorem
351,leo
352,tempus
353,pretium
354,lobortis
355,eget
356,neque
357,mollis
358,metus
359,varius
360,Vivamus
361,nonummy
362,auctor
363,Vivamus
364,montes
365,luctus
366,luctus
367,Ut
368,ultricies
369,nunc
370,Praesent
371,neque
372,nulla
373,Duis
374,taciti
375,torquent
376,viverra
377,enim
378,senectus
379,nulla
380,Quisque
381,varius
382,ad
383,dictum
384,fermentum
385,fringilla
386,aliquet
387,suscipit
388,enim
389,facilisi
390,sagittis
391,luctus
392,vulputate
393,Nullam
394,pulvinar
395,morbi
396,vehicula
397,consectetuer
398,lorem
399,fames
400,In
401,vulputate
402,Nullam
403,blandit
404,magna
405,dui
406,mollis
407,dapibus
408,Donec
409,lobortis
410,eleifend
411,primis
412,luctus
413,commodo
414,conubia
415,ipsum
416,eleifend
417,dis
418,tincidunt
419,Sed
420,fames
421,sit
422,suscipit
423,ornare
424,amet
425,Vivamus
426,pede
427,metus
428,nulla
429,malesuada
430,Proin
431,mattis
432,in
433,ullamcorper
434,laoreet
435,ridiculus
436,faucibus
437,consectetuer
438,lacus
439,est
440,varius
441,lobortis
442,ullamcorper
443,vitae
444,luctus
445,cubilia
446,ullamcorper
447,lobortis
448,pharetra
449,pellentesque
450,sagittis
451,fringilla
452,ad
453,eget
454,fringilla
455,ut
456,tempor
457,feugiat
458,nunc
459,dictum
460,accumsan
461,rutrum
462,magna
463,lorem
464,congue
465,aptent
466,morbi
467,gravida
468,sociis
469,vel
470,morbi
471,sem
472,mattis
473,egestas
474,Curae
475,non
476,iaculis
477,suscipit
478,sollicitudin
479,eros
480,Aenean
481,nostra
482,hymenaeos
483,imperdiet
484,convallis
485,tincidunt
486,Donec
487,Lorem
488,pellentesque
489,hendrerit
490,Praesent
491,pellentesque
492,sociis
493,Duis
494,Suspendisse
495,dictum
496,id
497,primis
498,dignissim
499,sociis
500,blandit
501,congue
502,consectetuer
503,cubilia
504,quam
505,eros
506,Cras
507,Curae
508,augue
509,Maecenas
510,Etiam
511,Morbi
512,felis
513,Proin
514,sem
515,tincidunt
516,venenatis
517,feugiat
518,amet
519,pharetra
520,Quisque
521,erat
522,Class
523,at
524,quam
525,eros
526,massa
527,ad
